|ICO|Nazov|SK_NACE
0|36823457|FECOM ICT s.r.o.|62010.0
1|48175013|4bigdata spol. s r.o.|63110.0
2|41549708|Viliam Štafurik - RENTON|62090.0
3|43088961|Valter Mészáros - OFFICE Centrum|47410.0
4|46258981|EXTRACOM s.r.o.|62020.0
5|44274742|Dušan Valentovič|62090.0
6|45232270|GX SOLUTIONS, a. s.|62030.0
7|31403646|itelligence Slovakia, s. r. o.|62020.0
8|44644019|ADM Košice spol. s r.o.|63110.0
9|36839248|PM SYSTEMS, a. s.|62090.0
10|32110430|Ladislav Stupárek|71200.0
11|36589187|MICOMP spol. s r.o.|47410.0
12|36173622|KVATROMED, s.r.o.|33130.0
13|48154695|Peter Lenarčič - LK dizajn|62020.0
14|44685173|PcProfi, s. r. o.|46510.0
15|44543697|Firesystem, s. r. o.|71200.0
16|35853867|board.sk, s.r.o.|47410.0
17|36606936|DB Biotech, spol. s r.o.|72190.0
18|47503009|ANOVATIVE, s.r.o.|62010.0
19|36559717|RH SOUND, s.r.o.|46520.0
20|47547243|MedSynthesis s.r.o.|63110.0
21|36003310|Prodata plus, s.r.o.|47410.0
22|35343320|Milan Boroš - ABM TECHNIK|71200.0
23|43939392|MIROMA, s.r.o.|63110.0
24|44015682|Grex SK, s. r. o.|47410.0
25|17333237|CENTRON SLOVAKIA spol. s r.o.|46520.0
26|40102343|Mgr. Stanislav Masár|63110.0
27|36385492|EASTNET, s.r.o.|46520.0
28|44573782|Elektronika vývoj s. r. o.|33140.0
29|36237809|BS ACOUSTIC, s.r.o.|26400.0
30|47452439|Pepita-Z, s.r.o.|62010.0
31|00612758|AMEDIS spol. s r.o.|33200.0
32|30226406|SUNTEQ spol. s r.o.|62090.0
33|36553760|VONET s.r.o.|62090.0
34|36379697|STK s.r.o. ČADCA|71200.0
35|47579706|Amperia, s. r. o.|71200.0
36|43818030|DD21 s.r.o.|46510.0
37|36049239|wanet, s.r.o.|62010.0
38|36257826|EXPYRO, s.r.o.|33200.0
39|36827631|AVIR, s.r.o.|47410.0
40|44310595|JKC, s. r. o.|62090.0
41|46560181|ARPenviro, s.r.o.|71200.0
42|44307691|HYDRA Computer s.r.o.|62010.0
43|47190426|MAGNUS COMPANY, s.r.o.|47410.0
44|47525606|SpišArt s.r.o.|63120.0
45|10905235|Mgr. Norbert Végh - ORON|62010.0
46|36884324|Ľuboš Kollár|71200.0
47|31351611|TEPEDE SLOVAKIA s.r.o.|46510.0
48|46836683|Venity, s. r. o.|62010.0
49|00697591|PROCONT, spol. s r.o. Prešov|27900.0
50|36012408|ABIKS s.r.o.|63110.0
51|44408081|belbro, s.r.o.|63110.0
52|36811033|Duvlan s.r.o.|47420.0
53|46715193|Daniel Gajdošík - Vaše Bezpečie|33200.0
54|36224260|ARES Provider, spol. s r.o.|63110.0
55|30999740|EMKE, spol. s.r.o. |47410.0
56|36386154|MB-ELEKTRONIKA, s.r.o.|62020.0
57|41751477|Martin Gall - MG COMP|47410.0
58|47418184|GPS-navigacie.sk, s. r. o.|47410.0
59|44547722|mobil online, s.r.o.|47420.0
60|44892748|GEMINY s.r.o.|47410.0
61|31703186|SOS electronic s.r.o.|46520.0
62|35750391|INTEC PLUS, s.r.o.|46510.0
63|35723718|BSP Consulting spol. s r.o.|62020.0
64|45420688|EponaCom, s.r.o.|63110.0
65|30997763|NRSYS s.r.o.|62090.0
66|43770738|Accalio s.r.o.|62010.0
67|46529233|Zelená pošta s. r. o.|62090.0
68|35975423|BSP Magnetica, s.r.o.|62020.0
69|35753382|ARCHA TELECOM spol. s r.o.|47410.0
70|44758863|Cread Studio, s. r. o.|62090.0
71|44801777|TOWDY s. r. o.|47410.0
72|33289557|Ing. Branislav Settey - SKLOCHEM-AGROEKOLAB|71200.0
73|44640421|EMPEQ Servis, s.r.o.|33140.0
74|31345638|TA Triumph - Adler Slovakia s. r. o.|46510.0
75|35707518|ELSERVIS s.r.o.|71200.0
76|46165151|euroap s.r.o.|62090.0
77|36520977|MARS svk, spol. s r.o.|62020.0
78|44546815|ELEKO s. r. o.|33140.0
79|48246468|IZOCOM s.r.o.|62020.0
80|35826304|SOFTLINE SERVICES, a. s. |46510.0
81|33629366|Pavel Vacula|27900.0
82|14255791|Ing. Igor Škrobánek - O.P.C.D.|71200.0
83|35687487|MAILTEC SLOVAKIA, spol. s r.o.|47410.0
84|36482200|2EM, s.r.o.|62010.0
85|34104445|NOVITECH Nové Zámky, s.r.o.|46510.0
86|35751461|SECAR BRATISLAVA a.s.|33200.0
87|34111522|HESO-COM, s.r.o.|47410.0
88|31674615|FAX & COPY Prešov, spol. s r.o.|46510.0
89|46087052|Inovea s.r.o.|62020.0
90|14323061|Ján Sopko|71200.0
91|47529148|KREKA SK s.r.o.|62090.0
92|31364161|LeNS, spol. s r.o.|63110.0
93|35691883|AP MEDIA, s.r.o.|46520.0
94|00698202|C G S spol. s r.o.|62010.0
95|31660614|121view Europe s.r.o.|46510.0
96|47313439|Empira s.r.o.|62010.0
97|17310377|3D s.r.o.|33140.0
98|35843136|OfficeLand, s.r.o.|47410.0
99|47179520|NAŠE MESTÁ SK s.r.o.|63120.0
100|47549670|NEEDRONIX s. r. o.|72190.0
101|45280380|ambitas, s. r. o.|62090.0
102|35751819|REFICIER JTL, s.r.o.|46510.0
103|31339778|i - center, spol. s r.o.|46430.0
104|31682171|ENERGIA, spol. s r.o., Košice|33200.0
105|36475891|IKAS, s.r.o.|46510.0
106|46369562|EVOSERVIS s.r.o.|62090.0
107|35775980|MI Trade, s.r.o.|47410.0
108|44271875|Euro Data SK, a.s.|46510.0
109|36546534|Agromont Nitra, spol. s r.o.|33200.0
110|36037346|AGHARTA COMPUTERS spol. s r.o.|47410.0
111|43874801|BIOMETRIC, spol. s r. o.|63110.0
112|45259356|jamoko, s.r.o.|62090.0
113|32191391|Ing. Dalibor Hladík - ALPHA TECH |33140.0
114|44304871|Drcon, s.r.o.|63110.0
115|45904341|AGILOR, s.r.o.|72190.0
116|46714227|MeDoIT s.r.o.|62090.0
117|46156429|GeoServices, s. r. o.|62090.0
118|36510017|MIVO Servis, s.r.o.|71200.0
119|36733733|LtcNet, s.r.o.|47410.0
120|36629324|MIKROLAB, s.r.o.|71200.0
121|45302855|GF Concept s. r. o.|63110.0
122|34125027|PALACE s.r.o.|46510.0
123|46841563|ARTEXE, s. r. o.|62090.0
124|45967563|Vidím Ťa s. r. o.|46520.0
125|35873264|MDK, s.r.o.|62010.0
126|35746190|Spelex spol. s r.o.|46510.0
127|47439351|PHYSICUS s.r.o.|72190.0
128|34130730|PROMOS s.r.o.|33130.0
129|31602843|SPOMART, spol. s r.o.|71200.0
130|46936122|OPaOS s. r. o. |71200.0
131|35946083|TM COMPUTER, s.r.o.|47410.0
132|37421883|Štefan Haász - CYBERNET|63110.0
133|34149139|SALAMON INTERNET, s.r.o.|63110.0
134|44246501|JOS GROUP s. r. o.|62090.0
135|31440398|DOCUGROUP Slovakia, s.r.o.|63110.0
136|44570635|Róbert Petrek|26200.0
137|36013498|"ENERGIO-PTS spol. s r.o.  
"|46430.0
138|47588420|JOY COMPUTER s.r.o.|62020.0
139|46742671|Consigliere Group, s. r. o.|62090.0
140|36825166|Verin consulting s.r.o.|62010.0
141|36277151|ANDREA SHOP, s.r.o.|46430.0
142|34127879|I.T.E.I., s.r.o.|47410.0
143|17605938|Pavol Strnisko - STK|71200.0
144|14126729|Ing. Roman Gajdošech|62010.0
145|36003107|DIGICOM, s.r.o.|47420.0
146|00594318|EDIS (Výskumné a vývojové družstvo pre Elektronické Digitálne Systémy)|72200.0
147|35971355|HASAP GASTRO Consulting, s.r.o.|62010.0
148|45842167|Alab, spol. s r. o.|71200.0
149|47156074|iLO, s. r. o.|62090.0
150|31396640|COOPEX - RADIO a.s.|33200.0
151|17784506|Ing. Pavol Biskup  CREATE|62020.0
152|17916534|Adam Chabada |27330.0
153|35771917|Unicorn Systems SK s. r. o.|62010.0
154|36239313|LABEKO, s.r.o.|71200.0
155|36348279|Ústav radiačnej ochrany, s.r.o.|71200.0
156|32660162|Ing. Peter Földvári Rock Centrum|47430.0
157|34139800|KONŠTRUKTA - Defence, a.s.|72190.0
158|45377600|G-BASE s. r. o.|62010.0
159|46712143|G-BASE Vostok s.r.o.|62090.0
160|41717287|Ing. Rudolf Rehák - METAL WORKS|62020.0
161|36692301|Absolutio, s.r.o.|62010.0
162|48314714|Procurio s.r.o.|62090.0
163|47455004|eBIZ a. s.|62090.0
164|47012676|SIOX s.r.o.|62090.0
165|31691269|C & C Košice s.r.o.|33200.0
166|10695354|Pavol Raffaelis - ERAF|33140.0
167|36170771|Nové technológie a služby, s.r.o.|46510.0
168|45373728|ENVIRO, s. r. o.|71200.0
169|47330856|AAS Slovakia s.r.o.|62090.0
170|36333824|ELCOMP trade, spol. s r.o.|33200.0
171|46014802|Ing. Jiří Frančík|62020.0
172|31365787|C - bau, spol. s r.o.|71200.0
173|47385081|AGILIT, s. r. o.|62010.0
174|46196510|comcare s. r. o.|62090.0
175|36338702|ELTIME in, s.r.o.|27900.0
176|37162837|Ingrid Győriová - INTERVYT|63110.0
177|31821987|Technický a skúšobný ústav stavebný, n. o.|71200.0
178|46644245|ANICO Slovakia s.r.o.|47410.0
179|45001103|SORTEC EUROPE, s. r. o.|46520.0
180|43516653|Mgr. Juraj Filo - LOCAL MEDIA|62010.0
181|14088509|Pavol Kudláč|71200.0
182|47074701|BB-IT s. r. o.|62020.0
183|36234851|K-KONTROL, spol. s r.o.|71200.0
184|46557270|redByte, s. r. o.|62090.0
185|47049715|ISYS plus s.r.o. |62090.0
186|48038334|LB Direction, s. r. o.|63110.0
187|31618723|IMPULZ s.r.o.|71200.0
188|31635903|KROS a.s.|62090.0
189|41517733|Rastislav Trošan - erevizie.sk|62090.0
190|44406126|X-Systems s.r.o.|62010.0
191|30810701|Slovenský metrologický ústav|72190.0
192|46747036|Puzzle CRM Consulting s.r.o.|63110.0
193|36705268|GeCom, s.r.o.|62020.0
194|47966289|Quantlab s.r.o.|62090.0
195|46919805|TOPSET Solutions s. r. o.|62010.0
196|31327257|APPLIED PRECISION s.r.o. |26510.0
197|32134801|Marián Horváth SSA-servis staničných akumulátorov|33140.0
198|45888329|Interaktívna škola, s.r.o.|63110.0
199|47438525|PeVyT, s.r.o.|62090.0
200|46886630|JOEL servis s.r.o.|62090.0
201|44528639|EUROPE INFOWAY, s. r. o.|63110.0
202|31710549|STAPRO SLOVENSKO s.r.o.|62010.0
203|31414630|noves trade spol. s r.o.|26400.0
204|46438335|VZP ADRIKA s.r.o.|62020.0
205|31400671|COMPAREX Slovakia spol. s r.o.|62090.0
206|50058304|CAROX s. r. o.|71200.0
207|46956298|ITIT s. r. o.|62010.0
208|31682731|VILLA PRO s.r.o.|27900.0
209|47645849|Ing. Marek Bežovský, PhD. - MAX ENERGY|71200.0
210|36837032|R - S , s.r.o.|62010.0
211|36524867|A.C.T. NITRA, s.r.o.|33200.0
212|43883311|Juraj Maňko|63110.0
213|36000248|HOPE spol. s r.o.|71200.0
214|44334877|Denis Kandela - REVYT|71200.0
215|47021802|EGM, s.r.o.|62090.0
216|35684003|REVSTAV s.r.o.|71200.0
217|31594476|Centralis SK s.r.o.|46520.0
218|45926026|INFO PARTNER, s. r. o.|63110.0
219|47387882|Školská technika s.r.o.|63110.0
220|35798483|GFS, s.r.o.|33200.0
221|46322876|2m production s.r.o.|62090.0
222|44062443|Aglo Services s. r. o.|62010.0
223|31590128|SUNSOFT plus spol. s r.o. |62090.0
224|36800767|PIFox, s.r.o.|26200.0
225|45747822|Inštitút pre výskum, technológie a kreatívne aktivity - IRTEC n.o.|72200.0
226|35674296|Broadcasting Support Services spol. s r. o.|63110.0
227|35823526|ISOMI, a.s. |63110.0
228|47411431|AUTOŠKOLA Jaroslav Prekop s. r. o.|71200.0
229|46616161|MACANO s.r.o.|62090.0
230|44458479|FORBIS s.r.o.|26200.0
231|36344010|Radeton SK s.r.o. |46520.0
232|35933747|ELRON Elektro s.r.o.|46520.0
233|31389325|ABB, s.r.o.|33200.0
234|14033321|Ing. Peter Holko - HOLKO súkromná firma|71200.0
235|45862460|Peter Ouzký - IQTech|62020.0
236|35828561|VERIX, s.r.o.|47410.0
237|45625841|LISTERA s.r.o.|62090.0
238|36320641|TECHNIcomms s. r. o.|46520.0
239|35747811|C.G.C., a.s.|62010.0
